group	x	xend	y	yend
45	783653.5	800000.5	-0.574251783422464	-0.574251783422464
46	0.5	100417.5	-1.07600031100709	-1.07600031100709
47	100417.5	297915.5	0.03513537713591	0.03513537713591
48	297915.5	400000.5	1.10433759695485	1.10433759695485
49	400000.5	480067.5	0.184587616983238	0.184587616983238
50	480067.5	483403.5	-1.46699781272221	-1.46699781272221
51	483403.5	502085.5	-0.0758014627939356	-0.0758014627939356
52	502085.5	702252.5	0.95740168537294	0.95740168537294
53	702252.5	781651.5	0.0472445361394938	0.0472445361394938
54	781651.5	783653.5	1.60748979304342	1.60748979304342
55	783653.5	800000.5	-0.574251783422464	-0.574251783422464
56	0.5	100417.5	-1.07600031100709	-1.07600031100709
57	100417.5	297915.5	0.03513537713591	0.03513537713591
58	297915.5	323937.5	1.13692241146928	1.13692241146928
59	323937.5	324604.5	4.70191904061901	4.70191904061901
60	324604.5	400000.5	1.06125450660328	1.06125450660328
61	400000.5	480067.5	0.184587616983238	0.184587616983238
62	480067.5	483403.5	-1.46699781272221	-1.46699781272221
63	483403.5	502085.5	-0.0758014627939356	-0.0758014627939356
64	502085.5	702252.5	0.95740168537294	0.95740168537294
65	702252.5	783653.5	0.0856112227846723	0.0856112227846723
66	783653.5	800000.5	-0.574251783422464	-0.574251783422464
67	0.5	100417.5	-1.07600031100709	-1.07600031100709
68	100417.5	297915.5	0.03513537713591	0.03513537713591
69	297915.5	323937.5	1.13692241146928	1.13692241146928
70	323937.5	324604.5	4.70191904061901	4.70191904061901
71	324604.5	400000.5	1.06125450660328	1.06125450660328
72	400000.5	480067.5	0.184587616983238	0.184587616983238
73	480067.5	483403.5	-1.46699781272221	-1.46699781272221
74	483403.5	502085.5	-0.0758014627939356	-0.0758014627939356
75	502085.5	702252.5	0.95740168537294	0.95740168537294
76	702252.5	781651.5	0.0472445361394938	0.0472445361394938
77	781651.5	783653.5	1.60748979304342	1.60748979304342
78	783653.5	800000.5	-0.574251783422464	-0.574251783422464
79	0.5	100417.5	-1.07600031100709	-1.07600031100709
80	100417.5	297915.5	0.03513537713591	0.03513537713591
81	297915.5	323937.5	1.13692241146928	1.13692241146928
82	323937.5	324604.5	4.70191904061901	4.70191904061901
83	324604.5	400000.5	1.06125450660328	1.06125450660328
84	400000.5	480067.5	0.184587616983238	0.184587616983238
85	480067.5	484070.5	-1.33117106834256	-1.33117106834256
86	484070.5	485405.5	1.5834998676926	1.5834998676926
87	485405.5	500083.5	-0.267024744431564	-0.267024744431564
88	500083.5	702252.5	0.952005434462724	0.952005434462724
89	702252.5	781651.5	0.0472445361394938	0.0472445361394938
90	781651.5	783653.5	1.60748979304342	1.60748979304342
91	783653.5	800000.5	-0.574251783422464	-0.574251783422464
92	0.5	89075.5	-1.10924036827871	-1.10924036827871
93	89075.5	89742.5	2.49736764239772	2.49736764239772
94	89742.5	100417.5	-1.02095032844506	-1.02095032844506
95	100417.5	297915.5	0.03513537713591	0.03513537713591
96	297915.5	323937.5	1.13692241146928	1.13692241146928
97	323937.5	324604.5	4.70191904061901	4.70191904061901
98	324604.5	400000.5	1.06125450660328	1.06125450660328
99	400000.5	480067.5	0.184587616983238	0.184587616983238
100	480067.5	483403.5	-1.46699781272221	-1.46699781272221
101	483403.5	502085.5	-0.0758014627939356	-0.0758014627939356
102	502085.5	702252.5	0.95740168537294	0.95740168537294
